frame,tid,cls,cx,cy,yaw,vx,vy,heading,hit,speed,moving,score,length,width,is_vehicle
12,16,Car,42.874279,10.944395,-3.068051,0.000000,0.000000,,1,0.000000,0,8.000000,0.964324,0.041634,0
13,1,Car,16.079532,-18.521117,-1.185722,6.879320,0.520453,0.075511,1,6.898979,1,64.000000,0.929664,0.372894,1
13,3,Car,14.733554,30.251639,-3.925545,-0.055015,-0.095202,-2.094788,1,0.109954,0,5.000000,0.544487,0.250730,0
13,4,Car,31.130674,-29.044539,-2.984894,0.094729,-0.616158,-1.418249,1,0.623397,0,4.000000,1.986141,0.170582,0
13,8,Car,40.280882,-9.154683,-0.946299,0.069774,-0.041054,-0.531836,1,0.080956,0,15.000000,1.206963,0.229231,0
13,10,Car,21.465788,8.395450,-2.789832,-11.033112,-1.171607,-3.035799,1,11.095144,1,19.000000,1.039497,0.241451,0
13,13,Car,10.794012,27.630086,-1.570796,0.364295,-0.375554,-0.800615,1,0.523213,0,1.000000,0.000000,1.900000,0
13,14,Car,32.543463,-3.408506,-7.705783,7.245787,1.026080,0.140675,1,7.318078,0,471.000000,1.391558,0.342384,1
13,16,Car,42.263820,10.874724,-2.985202,-0.505122,-0.057649,-3.027956,1,0.508401,0,2.000000,0.400244,0.041634,0
13,15,Car,26.356271,-4.785556,-1.698785,0.682240,0.083476,0.121751,0,0.687328,0,91.000000,2.688879,1.780470,1
14,1,Car,16.817093,-18.446969,-1.189621,6.939471,0.547242,0.078696,1,6.961015,1,60.000000,0.897170,0.355829,1
14,3,Car,14.720301,30.222252,-3.842475,-0.064410,-0.119282,-2.065914,1,0.135561,0,5.000000,0.580097,0.139114,0
14,4,Car,31.071053,-28.778727,3.581206,0.013991,-0.233545,-1.510961,1,0.233964,0,2.000000,0.138464,0.170582,0
14,8,Car,40.209470,-9.204434,-0.846491,-0.025238,-0.096378,-1.826907,1,0.099628,0,15.000000,1.290007,0.307972,0
14,10,Car,20.190058,8.286705,-3.258268,-11.268533,-1.160116,-3.039002,1,11.328093,1,26.000000,1.123096,0.378290,0
14,15,Car,26.744322,-4.622477,-1.570796,1.428902,0.444710,0.301723,1,1.496505,0,1.000000,2.688879,1.780470,1
14,16,Car,41.579678,10.590078,-2.861666,-1.864818,-0.656096,-2.803290,1,1.976868,0,3.000000,0.517164,0.010799,0
14,14,Car,33.268042,-3.305898,-7.705783,7.245787,1.026080,0.140675,0,7.318078,1,471.000000,1.391558,0.342384,1
14,13,Car,10.830442,27.592530,-1.570796,0.364295,-0.375554,-0.800615,0,0.523213,0,1.000000,0.000000,1.900000,0
15,1,Car,17.552112,-18.372294,-1.111063,6.987679,0.570659,0.081486,1,7.010942,1,57.000000,0.827272,0.452957,1
15,3,Car,14.703048,30.220965,-3.839479,-0.077101,-0.106792,-2.196117,1,0.131716,0,6.000000,0.562618,0.286442,0
15,4,Car,31.107634,-28.932752,-2.997332,0.053916,-0.381834,-1.430521,1,0.385622,0,4.000000,1.995407,0.124458,0
15,8,Car,40.157842,-9.235559,-0.790534,-0.082874,-0.121598,-2.169025,1,0.147154,0,13.000000,1.077589,0.238926,0
15,10,Car,18.947214,8.122085,-2.848052,-11.418901,-1.223131,-3.034885,1,11.484222,1,26.000000,1.345560,0.526695,0
15,16,Car,40.592716,10.362907,-2.594312,-4.080425,-1.103273,-2.877525,1,4.226947,0,11.000000,1.156645,0.244770,0
15,17,Car,27.239550,-25.776031,-3.574056,0.000000,0.000000,,1,0.000000,0,2.000000,0.495145,1.900000,0
15,14,Car,33.992621,-3.203290,-7.705783,7.245787,1.026080,0.140675,0,7.318078,1,471.000000,1.391558,0.342384,1
15,13,Car,10.866871,27.554975,-1.570796,0.364295,-0.375554,-0.800615,0,0.523213,0,1.000000,0.000000,1.900000,0
16,1,Car,18.284796,-18.288922,-1.173220,7.026530,0.600793,0.085296,1,7.052168,1,61.000000,0.877757,0.346176,1
16,3,Car,14.707724,30.312229,-3.313593,-0.062912,0.009984,2.984210,1,0.063699,0,8.000000,1.325478,0.380779,0
16,4,Car,31.121945,-29.022601,-3.021119,0.063838,-0.439310,-1.426491,1,0.443924,0,3.000000,1.959877,0.071457,0
16,8,Car,40.142083,-9.245925,-0.917311,-0.091432,-0.119544,-2.223729,1,0.150501,0,19.000000,1.280384,0.284937,0
16,16,Car,39.441792,10.190370,-2.745685,-6.121797,-1.274221,-2.936378,1,6.253003,0,20.000000,1.105888,0.557289,0
16,17,Car,27.206471,-25.948610,3.141593,-0.027371,-0.142799,-1.760175,1,0.145399,0,1.000000,0.495145,1.900000,0
16,14,Car,34.717199,-3.100682,-7.705783,7.245787,1.026080,0.140675,0,7.318078,1,471.000000,1.391558,0.342384,1
16,13,Car,10.903301,27.517419,-1.570796,0.364295,-0.375554,-0.800615,0,0.523213,0,1.000000,0.000000,1.900000,0
17,1,Car,19.015751,-18.201330,-1.208718,7.058383,0.631757,0.089267,1,7.086600,1,53.000000,0.840455,0.412130,1
17,3,Car,14.694993,30.319964,-3.321256,-0.070161,0.017565,2.896278,1,0.072326,0,6.000000,1.082264,0.133554,0
17,8,Car,40.266347,-9.142614,-0.230743,0.058715,0.010185,0.171757,1,0.059592,0,3.000000,0.211746,0.017067,0
17,16,Car,38.219107,10.073675,-3.128680,-7.651753,-1.247338,-2.980001,1,7.752752,1,19.000000,1.337399,0.383892,0
17,17,Car,27.164541,-25.973222,-3.141593,-0.111474,-0.164972,-2.165035,1,0.199103,0,1.000000,0.495145,1.900000,0
17,18,Car,42.527760,6.968848,-1.570796,0.000000,0.000000,,1,0.000000,0,1.000000,0.000000,1.900000,0
17,4,Car,31.128329,-29.066532,-3.021119,0.063838,-0.439310,-1.426491,0,0.443924,0,3.000000,1.959877,0.071457,0
17,14,Car,35.441778,-2.998074,-7.705783,7.245787,1.026080,0.140675,0,7.318078,1,471.000000,1.391558,0.342384,1
17,13,Car,10.939730,27.479864,-1.570796,0.364295,-0.375554,-0.800615,0,0.523213,0,1.000000,0.000000,1.900000,0
18,1,Car,19.746571,-18.108415,-1.052496,7.086165,0.664830,0.093547,1,7.117284,1,53.000000,0.811908,0.347260,1
18,3,Car,14.693871,30.282683,-3.920225,-0.063606,-0.025847,-2.755612,1,0.068657,0,3.000000,0.495007,0.093305,0
18,4,Car,31.153133,-29.204904,-3.017010,0.083509,-0.540163,-1.417411,1,0.546580,0,5.000000,2.164068,0.180672,0
18,8,Car,40.228954,-9.171365,-0.840042,0.010602,-0.022921,-1.137560,1,0.025254,0,14.000000,1.152187,0.244263,0
18,14,Car,36.570592,-3.369250,-7.695540,7.788451,0.390050,0.050039,1,7.798212,1,14.000000,2.122411,0.516888,0
